Rang,Unternehmen,Sitz,Kanton,Branche,Umsatz in Mio. Schweizer Franken,Umsatz in Mio. Euro
369,B. Braun Medical,Sempach,LU,Medizinaltechnik,396,422
370,Comet Holding,Flamatt,FR,Medizinaltechnik,396,422
371,T-Systems Schweiz,Zollikofen,BE,Computer/Informatik,392,418
372,Sipro Stahl Holding,Geroldswil,ZH,Metall-/Stahlhandel,388,414
373,Orascom Development Holding,Altdorf,UR,Hotellerie,386,412
374,Aduno Holding,Zürich,ZH,Dienstleistungen,385,411
375,Medbase Gesundheitszentren,Zürich,ZH,Gesundheitswesen,382,408
376,Erne Holding,Laufenburg,AG,Bauzulieferer/Bauelemente,380,405
377,Schneider Logistics Group,Basel,BS,Logistik/Spedition,376,401
378,Inficon Holding,Bad Ragaz,SG,Elektronik/Elektrotechnik,373,398
379,ESA-Einkaufsorganisation,Burgdorf,BE,Grosshandel (Fahrzeugbranche),369,394
380,Kantonsspital Graubünden,Chur,GR,Gesundheitswesen,366,390
381,Ricola Holding,Laufen,BL,Nahrungsmittel,365,389
382,Kistler Instrumente,Winterthur,ZH,Mess- und Regeltechnik,361,385
383,AEW Energie,Aarau,AG,Energieversorgung/-verteilung,354,378
384,Kibag Holding,Zürich,ZH,Bauzulieferer/Bauelemente,350,373
385,Mifroma,Ursy,FR,Nahrungsmittel,350,373
386,TopPharm Genossenschaft,Münchenstein,BL,Drogerien/Parfümerien/Apotheken,350,373
387,Rhätische Bahn (RhB),Chur,GR,Bahnen/Öffentlicher Verkehr,347,370
388,C&A Mode,Baar,ZG,Detailhandel (Bekleidung),343,366
389,Canon (Schweiz),Wallisellen,ZH,Computer/Informatik,342,365
390,Wicor Holding,Rapperswil,SG,Mischkonzern,341,364
391,Groupe Eldora,Rolle,VD,Gastronomie/Catering,340,363
392,Jansen AG,Oberriet,SG,Metallverarbeitung,340,363
393,Victorinox,Ibach,SZ,Mischkonzern,335,357
394,Leonteq,Zürich,ZH,Computer/Informatik,335,357
395,Microspot,Moosseedorf,BE,Online Handel,334,356
396,u-blox Holding,Thalwil,ZH,Computer/Informatik,334,356
397,Griesser Holding,Aadorf,TG,Bauzulieferer/Bauelemente,333,355
398,Calida Holding,Oberkirch LU,LU,Bekleidungsindustrie,333,355
399,Medacta International,Frauenfeld,TG,Medizinaltechnik,332,354
400,Kernkraftwerk Gösgen-Däniken,Däniken,SO,Energieversorgung/-verteilung,331,353
401,Hostettler-Gruppe,Sursee,LU,Grosshandel (Fahrzeugbranche),330,352
402,VZ Holding,Zürich,ZH,Dienstleistungen,329,351
403,Komax Holding,Dierikon,LU,Maschinenindustrie,328,350
404,Mepha,Basel,BS,Grosshandel Chemie/Pharma,325,347
405,Richard Mille,Les Breuleux,JU,Uhrenindustrie,320,341
406,TopCC,Gossau,SG,Grosshandel (Food),317,338
407,DB Schenker Schweiz,Zürich,ZH,Gütertransporte/Terminals,316,337
408,St. Gallisch-Appenzellische Kraftwerke,St. Gallen,SG,Energieversorgung/-verteilung,315,336
409,Adobe Systems (Schweiz),Zürich,ZH,Computer/Informatik,312,333
410,Hälg Holding,St. Gallen,SG,Haustechnik/Gebäudeautomation,312,333
411,Schätzle Holding,Luzern,LU,Mineralölhandel,309,330
412,LEM Holding,Freiburg,FR,Elektronik/Elektrotechnik,308,329
413,Hochdorf Holding,Hochdorf,LU,Nahrungsmittel,306,326
